"","pacient_10","pacient_11","pacient_5","pacient_6","pacient_4","pacient_1","pacient_2","pacient_3","pacient_7","pacient_9","pacient_8"
"FAP",1,134,139,266,279,0,213,7,28,0,452
"FAR1",6,794,1055,1662,1663,977,1496,1705,1055,0,2647
"FAR2",0,1,102,59,224,96,153,198,205,0,366
"FARP1",0,704,319,264,309,0,366,558,69,1,135
"FARP2",0,1,281,466,808,281,624,1096,232,0,113
"FARS2",1,789,340,244,296,375,806,553,304,0,269
"FARSA",130,11,1924,869,748,3022,1014,994,5724,536,3080
"FARSB",0,576,216,422,246,41,467,539,0,0,0
"FAS",0,644,218,310,1173,885,1829,1601,667,609,588
"FASLG",0,1051,60,35,2996,793,706,671,2194,0,329
"FASN",3,519,1531,2073,588,725,1428,1287,801,1226,820
"FASTK",0,5,743,996,1148,175,842,703,113,0,246
"FASTKD1",1,662,139,171,174,0,156,101,0,0,0
"FASTKD2",1,586,170,331,436,70,656,623,37,0,120
"FASTKD3",0,636,77,75,88,35,139,134,34,614,289
"FASTKD5",0,284,123,289,276,266,529,361,137,595,36
"FAT1",2,399,818,1625,283,68,187,217,0,986,1911
"FAT2",26119,1106,8730,3514,0,0,7,0,0,0,15689
"FAT3",1,371,0,0,0,0,0,1,0,0,0
"FAT4",0,746,1018,209,184,200,26,176,134,0,98
"FATE1",0,4,0,0,0,0,14,2,0,0,0
"FAU",16,112,9712,14329,17161,12937,23640,25282,9446,600,6529
"FAXC",0,854,3,30,0,129,5,8,0,0,0
"FAXDC2",1,33,78,17,0,118,10,100,0,0,104
"FBF1",0,2,103,55,27,70,92,121,39,0,0
"FBH1",0,333,535,243,635,163,473,493,197,0,82
"FBL",6,1063,5067,6243,2882,3362,5888,6169,2923,646,4694
"FBLIM1",0,851,2150,670,311,270,140,208,347,876,862
"FBLL1",0,789,142,0,71,0,6,0,133,337,0
"FBLN1",1,48,1361,1567,774,290,345,1960,76,2,454
"FBLN2",3,317,902,363,261,172,173,274,23,355,1
"FBLN5",0,4,127,393,276,145,228,671,268,0,341
"FBLN7",0,355,0,92,143,80,177,188,78,968,117
"FBN1",2,582,576,785,678,46,547,852,146,781,326
"FBN2",0,500,165,0,223,0,59,107,0,639,0
"FBN3",0,0,0,23,0,96,1,0,0,0,0
"FBP1",0,523,0,32,229,760,1185,1544,156,1,848
"FBP2",0,744,0,0,0,0,0,0,0,231,0
"fbpA",0,16,2,12,0,0,0,0,0,0,0
"FBRS",0,310,0,126,297,187,184,260,207,0,172
"FBRSL1",0,351,127,64,29,66,145,128,57,838,0
"FBXL12",1,514,195,263,347,0,284,273,57,695,0
"FBXL13",0,0,70,6,57,0,19,39,0,0,89
"FBXL14",0,379,333,50,423,256,325,301,159,0,236
"FBXL15",0,399,0,0,0,0,0,0,0,327,0
"FBXL16",1,634,170,73,83,0,100,167,77,0,107
"FBXL17",1,710,445,345,511,445,1162,1232,332,374,399
"FBXL18",2,495,193,163,203,33,291,269,0,0,110
"FBXL19",0,258,290,321,338,148,329,247,229,601,117
"FBXL2",0,0,0,104,42,0,3,10,56,0,76
"FBXL20",1,208,64,330,552,279,605,627,127,0,77
"FBXL22",0,1237,0,74,202,0,5,16,39,743,0
"FBXL3",2,991,6,418,833,263,1310,1663,106,571,379
"FBXL4",1009,534,256,210,616,301,620,693,56,824,134
"FBXL5",2089,31,533,632,952,756,894,991,166,0,626
"FBXL6",1,517,560,180,200,305,72,161,536,430,179
"FBXL7",0,871,128,184,201,86,46,132,130,1167,0
"FBXL8",0,88,693,107,134,104,32,145,0,0,417
"FBXO10",2565,411,1,54,252,0,62,73,0,0,0
"FBXO11",0,0,677,1547,1527,673,1377,2137,458,0,258
"FBXO15",0,669,0,0,60,0,5,21,64,0,0
"FBXO16",0,0,3,0,16,0,0,0,11,0,0
"FBXO17",471,177,74,44,147,96,25,29,0,685,71
"FBXO2",0,528,791,701,116,105,91,128,56,820,385
"FBXO21",1,902,97,218,278,366,552,752,120,694,190
"FBXO22",1799,1,825,811,779,793,776,730,1011,0,833
"FBXO24",0,0,0,0,104,0,0,0,0,0,0
"FBXO25",0,4,250,352,356,278,785,1005,0,317,89
"FBXO27",156,505,379,38,35,0,15,75,0,219,0
"FBXO28",0,451,327,529,368,84,544,566,67,535,138
"FBXO3",0,17,518,849,348,474,470,603,133,0,255
"FBXO30",1,405,0,114,100,0,220,299,0,0,140
"FBXO31",1,415,1159,244,268,545,492,509,579,0,237
"FBXO32",0,798,227,97,902,0,367,377,50,698,46
"FBXO33",0,787,65,239,602,56,855,563,53,0,0
"FBXO34",11,856,267,403,335,669,507,719,189,660,848
"FBXO36",0,201,0,75,123,85,45,81,0,0,0
"FBXO38",1128,949,820,575,1015,637,1021,1234,1216,1225,1054
"FBXO39",0,872,0,40,129,0,9,19,212,377,103
"FBXO4",1052,295,612,105,124,1335,260,307,2802,2041,1647
"FBXO40",0,1162,0,0,1,0,1,2,0,0,0
"FBXO41",0,505,193,122,226,342,305,248,82,1924,187
"FBXO42",1,742,658,797,1360,1111,1131,1440,1726,683,3422
"FBXO43",0,1012,0,37,43,0,115,42,138,441,192
"FBXO44",1219,564,1200,469,1145,4497,808,1192,7732,3087,6795
"FBXO45",0,614,243,209,196,81,114,118,0,0,0
"FBXO46",3248,863,127,411,732,73,671,704,62,624,88
"FBXO47",0,916,77,0,0,0,0,0,0,0,0
"FBXO48",0,995,0,69,36,211,39,84,0,0,102
"FBXO5",1,1073,218,708,573,280,901,631,477,140,392
"FBXO6",0,5,0,136,661,303,719,496,323,0,99
"FBXO7",2,682,637,1029,1919,460,2035,2238,453,973,370
"FBXO8",0,629,146,157,106,121,308,308,123,1734,0
"FBXO9",0,919,55,755,827,299,1332,1445,273,1200,250
"FBXW10",0,617,10,13,25,0,0,2,39,0,0
"FBXW11",0,21,637,461,380,609,631,836,1169,19,852
"FBXW12",0,0,330,0,89,0,0,2,0,0,0
"FBXW2",1,646,1067,1390,1965,808,2607,2372,910,499,850
"FBXW4",1,298,1072,881,1290,732,1258,1753,1335,818,981
"FBXW5",2,400,446,1302,1964,423,2211,1931,922,1341,922
"FBXW7",4,1091,1878,2545,6382,2015,2824,7007,3006,0,3239
"FBXW8",0,2,165,203,274,78,212,335,200,1,200
