"","pacient_10","pacient_11","pacient_5","pacient_6","pacient_4","pacient_1","pacient_2","pacient_3","pacient_7","pacient_9","pacient_8"
"CLDN24",0,612.770586643299,0,35.6851169937626,89.8952328832552,0,0,3.22443188205102,42.5494005621289,1257.81376344561,30.944164644247
"CLDN25",0.543100890239043,668.726878114143,0,0,72.146431076219,0,0,0,0,733.591170860267,0
"CLDN3",0,208.885367108462,0,0,13.7495134625745,0,4.44272156191616,3.77281326654752,0,0,0
"CLDN34",0,173.52400173739,0,5.79662056482084,0,0,0,1.07372932893248,0,540.888321643812,0
"CLDN4",1.24175263880828,6.57654058781571,11.9705985743002,8.10008999670349,0,0,0,0.0482964410956417,0,0,0.0579362923323754
"CLDN5",0.248305582863106,43.4503008602177,38.895761574852,24.7245548161423,64.5769119751074,83.410094560211,19.890244264162,105.170612152883,125.585606433372,0,18.690727184755
"CLDN6",0,20.1160265122884,0,0,2.61289503830675,0,0,0,0,0,0
"CLDN7",0,71.6329951071958,27.0776548359065,28.3855394394072,19.3907231576263,46.0489968099824,0,1.04635975780283,30.052047790334,114.890392980547,66.8399644581295
"CLDN8",0,114.948855269977,0,0,0,0,1.89330903100119,0,6.60339437273875,0,0
"CLDN9",0,48.9618076026469,0,0,12.8341539443202,0,0,1.01196613744522,0,0,0
"CLDND1",0.0148762230013,14.6665209476032,18.8934757557522,17.019351773809,50.4622339929003,23.8694986176662,29.1390537275255,44.0636678320667,52.1480192085827,27.9232089785243,26.6711044593145
"CLDND2",0,174.796713502831,0,0,51.8202922821603,44.2231406022281,16.0315782472042,49.0223666057232,110.171655657549,257.463616178388,0
"CLEC10A",62.7119633333336,47.3306513115591,14.5016915298512,11.6834554323663,33.7322032396835,974.875356928102,7.93938212155738,56.1389237821529,589.830383480004,0,78.1058602909555
"CLEC11A",0,122.641394857058,37.9285122163797,22.3689213553884,15.2331000431864,0,12.0639602139916,15.4811247442842,15.0800793265766,0,18.2980145935225
"CLEC12A",0,12.073883532422,0,0.61022695828406,5.19043668471321,4.59521811329538,6.79261472859113,5.20680574418854,1.04542485123739,0.016873369578277,0
"CLEC12B",0,29.2276891751805,0,1.62225902011181,0,0,0.830787300524314,0.457278043255736,0,52.9820169413246,9.01188660777989
"CLEC14A",0,111.4052893602,1.87398680409195,67.9968794951593,24.7535913464203,0,18.6447842252284,39.0097715725537,0,0,0
"CLEC16A",0,1.01812823165028,0.838980775543948,0.797672866407361,2.46880852264484,0.869361012368504,2.11804493555742,2.48580174991792,0.343962137076035,0,1.14752997087768
"CLEC17A",0,0,0,0,0,2.14779781294222,2.63722812346068,2.74646395618242,0.74401603772232,0,0
"CLEC19A",0,10.3506065085783,0.376994846305695,0,0.980567542737106,0,0.0931880795570814,0,0,13.8804942253728,0
"CLEC1A",0,9.43289708653456,0,0.972335463935698,1.21477292949263,0,0.457038658148587,1.97866523259081,0,0,0.0152153971924479
"CLEC1B",0,0,3.05889346534554,0,0,0.746057333075253,0,0,0,0,2.30421642098431
"CLEC2A",0,12.2989576993192,0,0,1.0596310206021,0,0,0,0,0,0
"CLEC2B",0,25.0582331683022,0.230490355583502,8.5325491687186,41.1426941008576,8.60468809600603,14.7895347241116,12.1361006874035,8.89301087512653,0,11.0222788964455
"CLEC2D",0,17.2479532820309,1.32314464621169,11.9122027574133,58.384257182027,14.9443932786884,93.3439642661531,59.900646995524,2.90654750090007,0,1.70294012720226
"CLEC2L",0,0,0,0,0,0,0,0,1.21870758454394,0,0
"CLEC3A",0,0,0,0.0390668592060203,0,0,0,0,0.337031899924704,0,0
"CLEC3B",0.0108390497168467,8.14191048156462,5.41554303389929,0.467316118414082,5.02943127560018,1.22012980979701,0.212967004976829,4.59091366666845,0,0,0
"CLEC4A",0.0249630762758306,32.8149137572613,22.502593513205,5.49661934839736,27.7901607192131,25.6026120875919,14.1106645835317,16.233584074358,39.7926976492821,25.8760315333552,40.6984661769313
"CLEC4C",0,13.3316208613553,0,0,6.80528524485138,1.9256211498628,2.11238195261677,3.28994493194509,0.745623128434707,0,1.1811022252359
"CLEC4D",0,16.8490137038383,0,0.625752631914102,3.25866988836069,0,3.02719210173012,1.07631141016721,0.942578071320232,0,0
"CLEC4E",0,4.41293861143553,0,0,5.8036696325527,36.4217463437336,48.7422089361727,30.4738511568525,9.66538834337771,0,0
"CLEC4F",0,38.136636711963,0,0,0,4.80935196571492,0,0.490973422655895,0,0,0
"CLEC4G",213.297305360685,38.7245139819415,1.71715858262739,6.40333898320379,0,7.9709222770472,1.14277319626577,9.05759790347005,6.58439410281193,0,0
"CLEC4M",0,71.0499710759589,11.8577406357017,1.26138814355038,0,19.0285131963197,0.97281360487118,20.444511608673,45.6873935766497,0,11.3116164013758
"CLEC5A",0,14.7515025339008,0,1.87663009593711,0,2.82416166901785,0.143908003774027,0.461676290083997,0,0,9.5779276023863
"CLEC6A",0,13.0304045193411,0,0.592463963487724,3.75603661756595,6.03807122957095,4.45003076048011,1.40758964200139,0,0,3.40570150765671
"CLEC7A",0,15.8746761116561,22.4029068566325,16.4123350130543,54.2712603414018,18.9954979144632,27.3948276096171,53.2416345868149,11.3894813206269,62.7662062542539,5.93573739038146
"CLEC9A",0,5.69202049844313,0.0554727234034516,0.440046679825366,0.217842261778554,0,0.351944276477312,0.739641058679398,2.79645617218116,0,0
